State (from\to) (Emission order)	1	2	3	4	5	6	7	8	9	10
1	0.9421150234100287	0.039370809871504986	0.0	7.738948475039402E-6	0.0	0.0	5.151945245813022E-4	0.008326360449600828	0.00966487279580908	0.0
2	0.0024250000564728456	0.9944639960641641	4.921822883217705E-4	0.0	0.0	6.946301343613266E-7	0.0015982631133911952	8.899784025773372E-4	1.2988544493844256E-4	0.0
3	0.0	0.004810410049294545	0.9689201231970971	0.016436579570158035	0.0012559425777743695	0.0010421841536945825	0.006827431365308063	0.0	6.500295172178173E-4	5.7299569455344155E-5
4	9.927172053065302E-6	0.0	0.0297788128045854	0.9471516839183868	0.022710270856993637	0.0	3.3516796335886586E-4	0.0	1.227190532911925E-5	1.8653792929235622E-6
5	0.0	0.0	0.011467526212579428	0.1232321248662064	0.7824301734759277	0.016356191943902094	0.007274546547817929	0.0	1.2560662077145982E-4	0.059113830332795006
6	0.0	5.684685675630715E-8	0.010609905041951681	0.0	0.015148777832969678	0.7733765567612321	0.1683504281033382	0.010747323486800197	0.0	0.02176695192685149
7	9.125166501720214E-4	0.06387848381651101	0.02798097363400453	8.106437537502026E-4	0.0033627906722858186	0.08041437127988656	0.6339330159385358	0.1498461557157732	0.02277669354311746	0.01608435499596341
8	0.0028370345336969226	0.00470341503069709	0.0	0.0	0.0	7.223921685022251E-4	0.019929995290399957	0.9712088606426991	5.983023340047298E-4	0.0
9	0.10137424770011827	0.02406347562825681	0.012230460766125417	2.8840977463177295E-5	2.661272360144125E-4	2.9921716411483682E-5	0.09344975535171404	0.022707086161835793	0.671005724264914	0.07484436019714645
10	0.0	0.0	5.170448289841647E-4	2.2354099502452813E-5	0.06307643149854637	0.024346167383873202	0.03721592022657484	3.5444012390768643E-6	0.040380071634716505	0.8344384659265635
